Card,Date,Description,Amount,Category
Delta SkyMiles® Platinum Card,02/23/2024,SLURPING TURTLE - ANANN ARBOR           MI,68.3,Uncategorized
Delta SkyMiles® Platinum Card,02/23/2024,TST* TOMUKUN KOREAN ANN ARBOR           MI,74.4,Uncategorized
Delta SkyMiles® Platinum Card,02/18/2024,ANN ARBOR COFFEE ROAAnn Arbor           MI,5.57,Uncategorized
Delta SkyMiles® Platinum Card,02/18/2024,INTUIT *TURBOTAX    800-446-8848        CA,40.0,Uncategorized
Delta SkyMiles® Platinum Card,02/18/2024,INTUIT *TURBOTAX    800-446-8848        CA,42.4,Uncategorized
Delta SkyMiles® Platinum Card,02/18/2024,MOBILE PAYMENT - THANK YOU,-2308.59,Uncategorized
Delta SkyMiles® Platinum Card,02/18/2024,USCUSTOMS TRUSTEDTRAINDIANAPOLIS        IN,100.0,Uncategorized
Delta SkyMiles® Platinum Card,02/16/2024,INTUIT *TURBOTAX    800-446-8848        CA,31.8,Uncategorized
Delta SkyMiles® Platinum Card,02/16/2024,INTUIT *TURBOTAX    800-446-8848        CA,40.0,Uncategorized
Delta SkyMiles® Platinum Card,02/15/2024,DELTA AIR LINES,2173.4,Uncategorized
Delta SkyMiles® Platinum Card,02/14/2024,AMAZON MARKEPLACE NA PA,31.4,Uncategorized
Delta SkyMiles® Platinum Card,02/14/2024,AMEX RIDESHARE CREDIT,-10.0,Uncategorized
Delta SkyMiles® Platinum Card,02/14/2024,LYFT                855-280-0278        CA,41.99,Uncategorized
Bank of America Custom Cash Rewards,12/11/2023,AMZN MKTP US*R34Q52373 SEATTLE WA,-21.19,Uncategorized
Bank of America Custom Cash Rewards,12/11/2023,AMZN MKTP US*KZ3VD46U3 SEATTLE WA,-10.59,Uncategorized
Bank of America Custom Cash Rewards,12/11/2023,AMZN MKTP US*AI5C237L3 SEATTLE WA,-21.19,Uncategorized
Bank of America Custom Cash Rewards,12/11/2023,AMZN MKTP US SEATTLE WA,23.39,Uncategorized
Bank of America Custom Cash Rewards,12/11/2023,AMZN MKTP US SEATTLE WA,31.79,Uncategorized
Bank of America Custom Cash Rewards,12/11/2023,AMZN MKTP US SEATTLE WA,23.39,Uncategorized
Bank of America Custom Cash Rewards,12/11/2023,AMZN MKTP US SEATTLE WA,33.91,Uncategorized
Bank of America Custom Cash Rewards,12/11/2023,AMAZON.COM SEATTLE WA,29.48,Uncategorized
Bank of America Custom Cash Rewards,12/11/2023,TARGET 00034157 ANN ARBOR MI,-4.79,Uncategorized
Bank of America Custom Cash Rewards,12/08/2023,Online payment from CHK 7040,850.0,Uncategorized
Bank of America Custom Cash Rewards,12/07/2023,DTE ENERGY DETROIT MI,-33.75,Uncategorized
Bank of America Custom Cash Rewards,12/04/2023,MEIJER # 048 BAY CITY MI,-9.53,Uncategorized
Bank of America Custom Cash Rewards,12/04/2023,BP#2643724ROSCO MINQPS ROSCOMMON MI,-2.79,Uncategorized
Bank of America Custom Cash Rewards,12/04/2023,MEIJER # 048 BAY CITY MI,-2.64,Uncategorized
Bank of America Custom Cash Rewards,12/02/2023,TARGET 00034157 ANN ARBOR MI,-8.38,Uncategorized
Bank of America Custom Cash Rewards,12/02/2023,AMZN MKTP US*NI2OJ4ZI3 SEATTLE WA,-46.78,Uncategorized
